Gene	FDR
hsa.let.7a.1	3.63349025907337e-09
hsa.let.7a.2	3.57644024774177e-09
hsa.let.7a.3	6.55882488404936e-09
hsa.let.7b	4.35865608020656e-11
hsa.let.7c	1.33673932492331e-47
hsa.let.7d	3.45791033267489e-66
hsa.let.7e	3.55063508422427e-05
hsa.let.7f.1	0.258508923612959
hsa.let.7f.2	5.15498890007175e-05
hsa.let.7g	2.09119296947214e-26
hsa.let.7i	3.9222666946977e-42
hsa.mir.1.1	0.709653522579933
hsa.mir.1.2	1.22855728010706e-08
hsa.mir.100	1.31102786020749e-38
hsa.mir.101.1	1.30847140045616e-12
hsa.mir.101.2	1.03428801645413e-40
hsa.mir.103.1	2.1728947399376e-17
hsa.mir.103.1.as	0.39470579723053
hsa.mir.103.2	2.57088245825645e-32
hsa.mir.103.2.as	0.611643127055592
hsa.mir.105.1	3.42080669272641e-27
hsa.mir.105.2	2.31229763266463e-30
hsa.mir.106a	1.02553959922381e-15
hsa.mir.106b	7.09683314496189e-50
hsa.mir.107	4.29453567055506e-15
hsa.mir.10a	1.7566692869484e-30
hsa.mir.10b	2.31427974029662e-33
hsa.mir.1178	0.310937933523546
hsa.mir.1179	0.455598678276586
hsa.mir.1180	7.87469613351977e-16
hsa.mir.1181	0.105688998889081
hsa.mir.1182	0.611643127055592
hsa.mir.1184.1	0.236607088556722
hsa.mir.1184.2	0.611643127055592
hsa.mir.1185.1	4.63390799842784e-10
hsa.mir.1185.2	0.000469201052084601
hsa.mir.1193	2.92058029467153e-06
hsa.mir.1197	0.00356988595915081
hsa.mir.1203	0.0625245807209454
hsa.mir.1204	0.501250362655177
hsa.mir.1205	0.677289872324651
hsa.mir.1206	0.604762521381837
hsa.mir.122	0.923651866321328
hsa.mir.1224	2.16761604482251e-12
hsa.mir.1225	0.0983456247433843
hsa.mir.1226	3.69912145490725e-46
hsa.mir.1227	3.70781011885059e-11
hsa.mir.1228	4.49155741434099e-11
hsa.mir.1229	2.40495507242158e-41
hsa.mir.1231	0.19095140451331
hsa.mir.1233.2	0.501250362655177
hsa.mir.1234	0.0016386639412772
hsa.mir.1236	0.000183949468079767
hsa.mir.1237	4.2527198052809e-07
hsa.mir.1238	0.111733172132402
hsa.mir.124.1	0.793069931280697
hsa.mir.124.2	0.653395404430279
hsa.mir.124.3	0.36205730814267
hsa.mir.1243	3.12611526812417e-05
hsa.mir.1244.1	0.709653522579933
hsa.mir.1244.2	0.808266613966743
hsa.mir.1244.3	0.611643127055592
hsa.mir.1245	4.01251059051679e-10
hsa.mir.1246	5.74888471956009e-11
hsa.mir.1247	1.80209129467751e-14
hsa.mir.1248	2.26339650572669e-11
hsa.mir.1249	7.51151237699856e-18
hsa.mir.1250	5.12591059811375e-06
hsa.mir.1251	1.34304001479738e-20
hsa.mir.1252	0.00289714701433009
hsa.mir.1253	0.147709993613495
hsa.mir.1254	2.606358076229e-25
hsa.mir.1255a	6.82151327498377e-09
hsa.mir.1256	0.00446049504627458
hsa.mir.1257	0.00178359690272038
hsa.mir.1258	1.76066527861617e-21
hsa.mir.125a	2.59815607201196e-39
hsa.mir.125b.1	3.16998823701839e-26
hsa.mir.125b.2	2.48179373773887e-45
hsa.mir.126	2.4192903659622e-34
hsa.mir.1260	0.106392510494142
hsa.mir.1260b	0.00837820597924743
hsa.mir.1261	0.604762521381837
hsa.mir.1262	2.02747783717782e-08
hsa.mir.1263	0.604762521381837
hsa.mir.1264	0.0278075693968542
hsa.mir.1265	0.000690924913132262
hsa.mir.1266	4.68506416269555e-19
hsa.mir.1267	0.588263843646094
hsa.mir.1269	1.77703818397013e-12
hsa.mir.127	2.57464113097461e-21
hsa.mir.1270.1	1.68637800222613e-12
hsa.mir.1270.2	1.70377443884611e-14
hsa.mir.1271	1.01474901246355e-47
hsa.mir.1272	0.548120097355053
hsa.mir.1273	0.611643127055592
hsa.mir.1273c	0.406801321926742
hsa.mir.1274a	0.604762521381837
hsa.mir.1274b	3.071428705073e-24
hsa.mir.1275	7.02750864998402e-05
hsa.mir.1276	1.16657420218037e-15
hsa.mir.1277	3.83218526421772e-55
hsa.mir.1278	0.0084321742729446
hsa.mir.128.1	4.4523650871986e-22
hsa.mir.128.2	1.02074864824852e-20
hsa.mir.1280	0.189428179709051
hsa.mir.1281	0.358459280543751
hsa.mir.1282	0.611643127055592
hsa.mir.1283.1	2.63946681790959e-21
hsa.mir.1283.2	3.26690883998053e-22
hsa.mir.1284	8.48243865409486e-07
hsa.mir.1285.1	0.00926325357188959
hsa.mir.1285.2	0.440012417331346
hsa.mir.1286	0.000318968399927331
hsa.mir.1287	1.68606243979729e-24
hsa.mir.1288	2.53713546573436e-09
hsa.mir.1289.1	0.43403651683436
hsa.mir.1289.2	0.918618712829826
hsa.mir.129.1	7.08331779485573e-12
hsa.mir.129.2	1.45672103338381e-15
hsa.mir.1290	0.00973175227973226
hsa.mir.1291	2.44202628921643e-09
hsa.mir.1292	5.15434367912729e-22
hsa.mir.1293	0.331134358299175
hsa.mir.1294	0.0203680328107218
hsa.mir.1295	1.01217588219853e-12
hsa.mir.1296	4.4105408169467e-27
hsa.mir.1297	0.611643127055592
hsa.mir.1298	0.0655135062441562
hsa.mir.1299	0.611643127055592
hsa.mir.1301	3.16174123202181e-71
hsa.mir.1302.3	0.0605054374695669
hsa.mir.1303	0.611643127055592
hsa.mir.1304	9.92761149215096e-22
hsa.mir.1305	0.00166365090196981
hsa.mir.1306	8.73098302130512e-77
hsa.mir.1307	4.13741942596008e-61
hsa.mir.130a	5.67045243556072e-25
hsa.mir.130b	1.72514342892645e-75
hsa.mir.132	2.21967471003211e-08
hsa.mir.1322	0.39470579723053
hsa.mir.1323	0.000101500194716341
hsa.mir.133a.1	0.00351891001799266
hsa.mir.133a.2	0.488454661578039
hsa.mir.133b	0.0436764422999312
hsa.mir.134	7.11233328582651e-29
hsa.mir.135a.1	1.56370004316385e-12
hsa.mir.135a.2	3.64690090905299e-12
hsa.mir.135b	3.62051820991958e-55
hsa.mir.136	7.05835989849303e-16
hsa.mir.137	3.36083905262196e-11
hsa.mir.138.1	6.74832796124145e-26
hsa.mir.138.2	5.48721856766011e-25
hsa.mir.139	1.81184881505473e-19
hsa.mir.140	3.60398412650324e-44
hsa.mir.141	2.99755296152824e-33
hsa.mir.142	7.07613145560709e-42
hsa.mir.143	1.59101952337377e-14
hsa.mir.144	0.0424509709094121
hsa.mir.145	1.80414988240771e-19
hsa.mir.1468	2.606358076229e-25
hsa.mir.1469	0.611643127055592
hsa.mir.146a	2.16973603806827e-28
hsa.mir.146b	1.58499270533646e-34
hsa.mir.147	0.611643127055592
hsa.mir.147b	5.12588248692721e-11
hsa.mir.148a	4.84546668653849e-22
hsa.mir.148b	1.35085380126222e-58
hsa.mir.149	1.53880735425481e-34
hsa.mir.150	4.86765258155011e-16
hsa.mir.151	5.58070902551931e-18
hsa.mir.152	3.96667000667931e-06
hsa.mir.153.1	2.12684826872742e-12
hsa.mir.153.2	3.91355658722106e-31
hsa.mir.1537	4.071768966486e-10
hsa.mir.1538	1.11004261771166e-06
hsa.mir.1539	0.0284769903956487
hsa.mir.154	2.561778198134e-18
hsa.mir.155	3.26654963398293e-26
hsa.mir.15a	1.06046946959757e-11
hsa.mir.15b	4.77530623025778e-35
hsa.mir.16.1	1.95748914894138e-48
hsa.mir.16.2	7.07613145560709e-42
hsa.mir.17	2.9124748769394e-59
hsa.mir.181a.1	5.42954002511581e-07
hsa.mir.181a.2	1.07778488735793e-20
hsa.mir.181b.1	1.27754964852978e-11
hsa.mir.181b.2	8.36777391930164e-17
hsa.mir.181c	6.82463145575185e-05
hsa.mir.181d	2.10024812686756e-07
hsa.mir.182	1.14611821366012e-07
hsa.mir.1825	0.78729246146543
hsa.mir.1827	0.0187171796648285
hsa.mir.183	3.97358582492858e-12
hsa.mir.184	5.0999646944591e-15
hsa.mir.185	2.65868194035708e-24
hsa.mir.186	6.05320605032011e-68
hsa.mir.187	6.75601883771042e-13
hsa.mir.188	4.87660781513587e-62
hsa.mir.18a	9.0539414235986e-67
hsa.mir.18b	1.6039134538604e-11
hsa.mir.190	0.000566538184904454
hsa.mir.1908	0.00230437042623034
hsa.mir.1909	0.0137758252523397
hsa.mir.190b	5.27315242416635e-67
hsa.mir.191	4.28134767018644e-46
hsa.mir.1910	3.54220572972721e-15
hsa.mir.1911	0.00569695390571857
hsa.mir.1912	0.968109257003797
hsa.mir.1913	0.0418830524027421
hsa.mir.1914	3.2147631986274e-11
hsa.mir.1915	5.77175681348162e-18
hsa.mir.192	4.11990323675522e-28
hsa.mir.193a	9.22785118821084e-09
hsa.mir.193b	1.41980745541285e-28
hsa.mir.194.1	0.384133938990574
hsa.mir.194.2	0.131850857188523
hsa.mir.195	2.03542364778207e-17
hsa.mir.196a.1	0.00175943349472014
hsa.mir.196a.2	1.94216576105743e-06
hsa.mir.196b	5.67779699084779e-41
hsa.mir.197	1.40605314111604e-72
hsa.mir.1972.1	0.618277532039015
hsa.mir.1976	1.70843615925323e-22
hsa.mir.198	0.131912587753495
hsa.mir.199a.1	2.75019162815438e-20
hsa.mir.199a.2	6.88528936785598e-22
hsa.mir.199b	5.08128055139079e-24
hsa.mir.19a	5.50295548836507e-43
hsa.mir.19b.1	1.82741341995684e-39
hsa.mir.19b.2	1.94805010805904e-35
hsa.mir.200a	9.80440983775185e-13
hsa.mir.200b	1.02273897874223e-07
hsa.mir.200c	1.60190051399976e-25
hsa.mir.202	3.12251578722343e-14
hsa.mir.203	7.62942603966248e-09
hsa.mir.204	2.74482358150221e-23
hsa.mir.205	2.00942533742033e-05
hsa.mir.206	2.52469066818303e-13
hsa.mir.208a	0.511811898890257
hsa.mir.208b	0.0006157881024816
hsa.mir.20a	3.72141252154179e-42
hsa.mir.20b	0.134383535221141
hsa.mir.21	0.000147956167220073
hsa.mir.210	8.31240810673684e-67
hsa.mir.211	0.0089950211791236
hsa.mir.2110	5.47808111608045e-20
hsa.mir.2113	3.70849756164013e-05
hsa.mir.2114	2.72154324254856e-08
hsa.mir.2115	1.44996336089068e-07
hsa.mir.2116	3.49609318871058e-18
hsa.mir.2117	0.00382987301638625
hsa.mir.212	1.64343202884109e-13
hsa.mir.214	2.98020890003618e-12
hsa.mir.215	7.58810279142164e-06
hsa.mir.216a	0.000147561445916362
hsa.mir.216b	0.0210721641721374
hsa.mir.217	1.2675802223092e-12
hsa.mir.218.1	1.70377443884611e-14
hsa.mir.218.2	4.54292180218016e-22
hsa.mir.219.1	4.53914770289777e-11
hsa.mir.219.2	0.0565575554641831
hsa.mir.22	6.40045492690083e-10
hsa.mir.221	1.01751692298584e-30
hsa.mir.222	3.17659213979805e-50
hsa.mir.223	4.39935429656928e-34
hsa.mir.224	5.84254477721441e-42
hsa.mir.2276	1.59132205829675e-09
hsa.mir.2277	4.36957450104366e-37
hsa.mir.2278	0.248703497985965
hsa.mir.2355	7.34638210028256e-22
hsa.mir.23a	9.9722717528238e-40
hsa.mir.23b	1.5483157935176e-21
hsa.mir.23c	0.604762521381837
hsa.mir.24.1	7.80325417464891e-29
hsa.mir.24.2	4.74140151669368e-40
hsa.mir.25	9.23879435344043e-28
hsa.mir.26a.1	1.35416403574216e-37
hsa.mir.26a.2	1.14787101207755e-08
hsa.mir.26b	1.30847140045616e-12
hsa.mir.27a	4.353140766074e-22
hsa.mir.27b	4.32720216391348e-05
hsa.mir.28	1.43545942232752e-24
hsa.mir.2861	0.515507184231269
hsa.mir.296	4.28716424103254e-16
hsa.mir.298	0.129373212313146
hsa.mir.299	4.53518100264831e-13
hsa.mir.29a	5.9370421432014e-15
hsa.mir.29b.1	3.46505460236525e-16
hsa.mir.29b.2	1.0251901405987e-19
hsa.mir.29c	4.84435094352091e-17
hsa.mir.301a	2.78343941549596e-69
hsa.mir.301b	5.18723029632884e-62
hsa.mir.302a	0.317334846290186
hsa.mir.302b	0.548120097355053
hsa.mir.302c	0.611643127055592
hsa.mir.302d	0.975637500588144
hsa.mir.3065	0.000338520214060854
hsa.mir.3074	3.98402046349894e-48
hsa.mir.30a	4.06492299828433e-11
hsa.mir.30b	2.93658021160439e-07
hsa.mir.30c.1	3.5729703793224e-20
hsa.mir.30c.2	0.0454733286244179
hsa.mir.30d	0.0137359995576218
hsa.mir.30e	5.68654405375461e-35
hsa.mir.31	8.05195902458222e-23
hsa.mir.3115	0.000291547528497708
hsa.mir.3116.1	0.0111031315740272
hsa.mir.3116.2	0.00580658950735724
hsa.mir.3117	0.386991797882373
hsa.mir.3119.2	0.611643127055592
hsa.mir.3120	0.485830042160522
hsa.mir.3121	0.561671322423751
hsa.mir.3122	0.728430263217529
hsa.mir.3124	0.520716948586571
hsa.mir.3125	0.0492958205557141
hsa.mir.3126	0.0436334614404285
hsa.mir.3127	5.21241239815198e-26
hsa.mir.3128	0.481369718492339
hsa.mir.3129	0.000133756234292402
hsa.mir.3130.1	1.71151379888046e-06
hsa.mir.3130.2	0.605014338475694
hsa.mir.3131	0.0212874983964172
hsa.mir.3132	6.70965949954876e-07
hsa.mir.3133	0.487315305899558
hsa.mir.3135	0.455598678276586
hsa.mir.3136	1.35565718256152e-26
hsa.mir.3137	2.7685858878852e-08
hsa.mir.3138	4.77628484952025e-08
hsa.mir.3139	0.00874629250492164
hsa.mir.3140	4.20740327899242e-09
hsa.mir.3141	0.501250362655177
hsa.mir.3142	0.469881229033655
hsa.mir.3143	0.00694882898825205
hsa.mir.3144	0.201706376434479
hsa.mir.3145	3.64515998437534e-14
hsa.mir.3146	0.0313080297685025
hsa.mir.3147	0.450448165697499
hsa.mir.3148	0.965146949120232
hsa.mir.3149	0.0859677112745425
hsa.mir.3150	1.84406512321059e-05
hsa.mir.3150b	2.52520748013372e-10
hsa.mir.3151	0.14432958036638
hsa.mir.3152	0.134989623607849
hsa.mir.3153	0.663235810741332
hsa.mir.3154	0.511811898890257
hsa.mir.3155	0.000850506433113679
hsa.mir.3156.1	2.86397105439016e-11
hsa.mir.3156.2	1.80533315239025e-14
hsa.mir.3156.3	8.4569111375553e-16
hsa.mir.3157	9.45703441506699e-12
hsa.mir.3158.1	0.000545786525527823
hsa.mir.3158.2	0.0492958205557141
hsa.mir.3159	0.0617445944645264
hsa.mir.3160.1	0.795582873294073
hsa.mir.3160.2	0.724631968120336
hsa.mir.3161	0.00253959504449115
hsa.mir.3162	0.975160254010991
hsa.mir.3163	0.938525811718241
hsa.mir.3164	4.70938572568049e-07
hsa.mir.3165	0.0570029593934105
hsa.mir.3166	0.000224635632013115
hsa.mir.3167	0.130828960768396
hsa.mir.3168	0.975637500588144
hsa.mir.3169	0.282226312135079
hsa.mir.3170	2.63017271527024e-48
hsa.mir.3171	0.880882668256703
hsa.mir.3173	3.09326665663097e-13
hsa.mir.3174	1.57469729346629e-06
hsa.mir.3175	0.352052115280039
hsa.mir.3176	6.07784718055446e-11
hsa.mir.3177	0.0107356860528813
hsa.mir.3178	0.00293018405416712
hsa.mir.3179.1	0.119123659458417
hsa.mir.3179.2	0.162858341338358
hsa.mir.3179.3	0.0979129763857028
hsa.mir.3180.1	0.665220722591091
hsa.mir.3180.2	0.611643127055592
hsa.mir.3180.3	0.341122390498681
hsa.mir.3180.4	0.0693771777135018
hsa.mir.3181	0.43186227487894
hsa.mir.3182	0.611643127055592
hsa.mir.3183	0.467421673736146
hsa.mir.3184	0.0121150590619326
hsa.mir.3185	0.665220722591091
hsa.mir.3186	1.39299437993994e-14
hsa.mir.3187	1.67665635809261e-13
hsa.mir.3188	0.0442353871220637
hsa.mir.3189	0.00200758117349057
hsa.mir.3190	3.43055209216652e-09
hsa.mir.3191	9.97986853191437e-11
hsa.mir.3192	1.3114593390617e-06
hsa.mir.3193	0.128992658355468
hsa.mir.3194	5.35576487396958e-09
hsa.mir.3195	8.48444772989443e-08
hsa.mir.3196	0.116102021754538
hsa.mir.3197	0.0580385727080377
hsa.mir.3198	0.000521463720613336
hsa.mir.3199.1	3.62140963105291e-08
hsa.mir.3199.2	5.12588248692721e-11
hsa.mir.32	4.65379361169443e-18
hsa.mir.3200	1.87817103015709e-61
hsa.mir.3202.1	0.0368776162595448
hsa.mir.3202.2	0.807974096657858
hsa.mir.320a	0.384133938990574
hsa.mir.320b.1	0.40144722762687
hsa.mir.320b.2	6.13832637616146e-21
hsa.mir.320c.1	4.84981137094766e-09
hsa.mir.320c.2	0.0769827368072488
hsa.mir.320d.1	0.000229445629900042
hsa.mir.320d.2	0.00210565106186005
hsa.mir.320e	0.00340529988390322
hsa.mir.323	3.25024723498414e-25
hsa.mir.323b	1.92130585061074e-43
hsa.mir.324	3.57812742140238e-73
hsa.mir.325	0.548120097355053
hsa.mir.326	5.51598916884595e-33
hsa.mir.328	1.41650675601658e-64
hsa.mir.329.1	4.948485873939e-07
hsa.mir.329.2	0.0212100254152245
hsa.mir.330	6.95890979163647e-23
hsa.mir.331	7.02196976626477e-60
hsa.mir.335	0.0173415717093096
hsa.mir.337	1.15068608218429e-27
hsa.mir.338	2.09891051659099e-05
hsa.mir.339	5.53185128311429e-38
hsa.mir.33a	2.47128644718367e-54
hsa.mir.33b	7.5301471837639e-46
hsa.mir.340	6.61862208917016e-18
hsa.mir.342	3.24829636792119e-24
hsa.mir.345	2.74977165643038e-65
hsa.mir.346	0.00209702673724463
hsa.mir.34a	2.23654971079813e-10
hsa.mir.34b	0.000122950108660147
hsa.mir.34c	1.30672673374015e-21
hsa.mir.3605	2.23883479376862e-57
hsa.mir.3606	0.0152680259905628
hsa.mir.3607	3.11028439910407e-53
hsa.mir.3609	0.455598678276586
hsa.mir.361	1.76382109097329e-17
hsa.mir.3610	6.75601883771042e-13
hsa.mir.3611	0.104607181842332
hsa.mir.3612	0.00031708206971169
hsa.mir.3613	1.15068608218429e-27
